License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-01935,MCCANBIZ LLC,Humble Farms,Medical Marijuana Cultivation,8552 Maverick Lane ,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403-00578,MEDICAL MJ SUPPLY LLC,Best Colorado Meds.org,Medical Marijuana Cultivation,4800 Lamar Street,Wheat Ridge,CO,80033,2024-09-03,39.784428,-105.067228
403-01810,MEDPHARM HOLDINGS LLC,,Medical Marijuana Cultivation,3855 North Quentin Street,Denver,CO,80239,2024-09-03,39.76989,-104.84483
403-01721,MELODY & COMPANY MANAGEMENT LLC,Melody Genetics,Medical Marijuana Cultivation,"755 South Jason Street, Unit 150",Denver,CO,80223,2024-09-03,39.7029887,-104.9992892
403-00739,MILE HIGH MEDICAL CANNABIS LLC,LIT,Medical Marijuana Cultivation,4611 East 46th Avenue,Denver,CO,80216,2024-09-03,39.7805612,-104.9331873
403-00973,MILE HIGH REMEDIES LLC,Doctors Orders,Medical Marijuana Cultivation,2805 North Prospect Street,Colorado Springs,CO,80907,2024-09-03,38.8699707,-104.8107679
403-01469,MJLQ LLC,Green Rino,Medical Marijuana Cultivation,"5959 East 39th Avenue, Unit 101",Denver,CO,80207,2024-09-03,39.7711457,-104.9190065
403-01813,MODERN BOTANY LLC,,Medical Marijuana Cultivation,"4595 East 46th Avenue , Unit 110",Denver,CO,80216,2024-09-03,39.7805609,-104.9333064
403-01510,MODERN MEDICINE LLC,Altitude Organic Medicine,Medical Marijuana Cultivation,2903 North Prospect Street,Colorado Springs,CO,80907,2024-09-03,38.8723174,-104.8106241
403-02016,MORNING SWEETS LLC,MORNING SWEETS,Medical Marijuana Cultivation,365 15th Street,Penrose,CO,81240,2024-09-03,38.403099,-105.00064
403-01278,MOUNTAIN ANNIES LLC,,Medical Marijuana Cultivation,33380 Highway 550,Montrose,CO,81403,2024-09-03,38.277854,-107.765345
403-01969,MR PARACHUTE LLC,,Optional Premises,0929 G County Road 215,Parachute,CO,81635,2024-09-03,39.474221,-108.082539
403-01975,MRW COLORADO LLC,,Medical Marijuana Cultivation,0929 F County Road 215,Parachute,CO,81635,2024-09-03,39.474221,-108.082539
403-00430,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Cultivation,6345 East Platte Avenue,Colorado Springs,CO,80915,2024-09-03,38.8392039,-104.7251759
403-02012,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Cultivation,1900 South Freeway,Pueblo,CO,81004,2024-09-03,38.234103,-104.6120899
403-01368,NATTY REMS LLC,Natty Rems,Medical Marijuana Cultivation,4675 North Kingston Street,Denver,CO,80239,2024-09-03,39.781946,-104.859085
403-01405,NATURAL ALTERNATIVES FOR HEALTH CORP,,Medical Marijuana Cultivation,"1420 Blue Spruce Drive, Unit G&H",Fort Collins,CO,80524,2024-09-03,40.606051,-105.071691
403-02211,NATURE MED INC,,Medical Marijuana Cultivation,8114 White Moon Lane,Ordway,CO,81063,2024-09-03,38.229256,-103.756729
403-00085,NATURES HERBS & WELLNESS CENTER,Nature's Herbs & Wellness Center,Medical Marijuana Cultivation,540 27th Street,Garden City,CO,80631,2024-09-03,40.3944806,-104.6866871
403-00643,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,Nature's Kiss,Medical Marijuana Cultivation,4332 South Broadway ,Englewood,CO,80113,2024-09-03,39.6379206,-104.9877229
403-01881,NEXT1 LABS LLC,Next1 Labs,Medical Marijuana Cultivation,1660 Siloam Road,Pueblo,CO,81005,2024-09-03,38.2261709,-104.9759944
403-02231,NOCO FARM LLC,Snaxland,Medical Marijuana Cultivation,118 Ash Street,Nunn,CO,80648,2024-09-03,40.107828,-104.518419
403-01927,NOMADIC LLC ,"Royal Jelly, Lazercat",Medical Marijuana Cultivation,8620 Colorado 103,Idaho Springs,CO,80452,2024-09-03,39.7410877,-105.5197832
403-00178,NS BRECK LIMITED,Northern Standard,Medical Marijuana Cultivation,"1795 Airport Road, Unit A2",Breckenridge,CO,80424,2024-09-03,39.5073685,-106.051869
403-00462,NUTRITIONAL ELEMENTS LLC,The Health Center,Medical Marijuana Cultivation,4800 North Nome Street,Denver,CO,80239,2024-09-03,39.786408,-104.852428
403-01656,NUVUE PHARMA LLC,,Medical Marijuana Cultivation,4740 Dillon Drive,Pueblo,CO,81008,2024-09-03,38.317696,-104.6118152
403-00133,ORIGINAL CANNABIS GROWERS LLC,,Medical Marijuana Cultivation,2625 East Saint Vrain Street,Colorado Springs,CO,80909,2024-09-03,38.8389513,-104.777869
403-00245,P & C EXPRESS LLC,Rocky Mountain High,Medical Marijuana Cultivation,6666 East 44th Avenue,Denver,CO,80216,2024-09-03,39.7776216,-104.9112821
403-00860,P & C EXPRESS LLC,Rocky Mountain High Dispensary,Medical Marijuana Cultivation,305 Jody Court,Montrose,CO,81401,2024-09-03,38.528244,-107.9321968
403-01939,PACIFICI ENTERPRISES LLC,,Medical Marijuana Cultivation,904 MR 45 Lane,Moffat,CO,81143,2024-09-03,37.639828,-106.204111
403-01411,PENROSE MANAGEMENT CO LTD,Penrose Cannabis,Medical Marijuana Cultivation,890 7th Street,Penrose,CO,81240,2024-09-03,38.432194,-105.010517
403-00644,PEORIA PARK MANAGEMENT LLC,Flatirons Cannabis Company,Medical Marijuana Cultivation,4765 North Oakland Street,Denver,CO,80239,2024-09-03,39.78622,-104.850667
403-01036,PERSONALIZED ORGANIC TREATMENTS LLC,,Medical Marijuana Cultivation,11122 East 47th Avenue,Denver,CO,80239,2024-09-03,39.7821658,-104.8584183
403-00160,PG GROW II LLC,12 Peaks Farms,Medical Marijuana Cultivation,7800 County Road 152,Salida,CO,81201,2024-09-03,38.552888,-106.021715
403-01200,PHOENIX FARMS OF BOULDER LLC,Phoenix Farms ,Medical Marijuana Cultivation,10452 Isabelle Road,Lafayette,CO,80026,2024-09-03,40.036657,-105.1017036
403-01580,PI 51st AVENUE LLC,Natty Rems,Medical Marijuana Cultivation,11100 East 51st Avenue,Denver,CO,80239,2024-09-03,39.7895444,-104.858255
403-02272,PISTIL PALACE LLC,,Medical Marijuana Cultivation,615 Dunn Deal Drive ,Moffat,CO,81143,2024-09-03,37.215457,-107.651024
403-01859,PND LLC, A Cut Above,Medical Marijuana Cultivation,3375 Fillmore Ridge Heights,Colorado Springs,CO,80907,2024-09-03,38.8801038,-104.8409831
403-00529,PND LLC,A Cut Above,Medical Marijuana Cultivation,3435 Fillmore Ridge Heights,Colorado Springs,CO,80907,2024-09-03,38.8808205,-104.8409839
