Name,Street,City,State,Zip,Type,Latitude,Longitude
Burnie Ganja,3236 Waverly Ln,Colorado Springs,CO,80922,Undisclosed,38.8782334,-104.6933822
C1B True Organics,601 US Hwy 85/87,Walsenburg,CO,81089,Recreational,37.521304,-104.696987
Cabin Cannabis,650 B S 11th,Gunnison,CO,81230,Recreational,38.53842,-106.936052
Callie’s Cannabis,920 W 104th Ave,Northglenn,CO,80234,Undisclosed,39.8850122,-104.9977553
Canna Cabinet,2630 W Pueblo Blvd Unit E,Pueblo,CO,81004,Undisclosed,38.2188076,-104.6415403
Canna City Dispensary,7150 Eudora Drive,Denver,CO,80022,Undisclosed,39.823914,-104.929334
Canna City Dispensary,417 N Commercial St,Trinidad,CO,81082,Recreational,37.1713957,-104.5069807
Canna City Dispensary,102 US HWY 10,Walsenburg,CO,81089,Recreational,37.632075,-104.76732
The Cannabis Depot,2440 N Interstate 25,Pueblo,CO,81008,Recreational,38.3380009,-104.6201045
Cannabis Health Home,401 S Eighth St,Colorado Springs,CO,80905,Undisclosed,38.828147,-104.840736
Cannabis Station,1201 20th St,Denver,CO,80202,Undisclosed,39.7526077,-104.9917111
Cannajuana,155 S Cherokee St,Denver,CO,80223,Medical,39.7136819,-104.9924746
Canna Meds Wellness Center,506 N Chelton Rd,Colorado Springs,CO,80909,Medical,38.8402954,-104.7670088
Cannasseur,41 Precision Dr,Pueblo West,CO,81007,Recreational,38.333847,-104.727828
Cannibicare,1466 Woolsey Heights,Colorado Springs,CO,80915,Medical,38.750926,-104.795019
The Center,6853 Leetsdale Drive,Denver,CO,80224,Undisclosed,39.7004958,-104.9088042
Cherry Peak Dispensary,4601 E Mississippi Ave,Denver,CO,80246,Undisclosed,39.6965797,-104.9404384
Choice Organics,813 Smithfield Dr,Fort Collins,CO,80524,Undisclosed,40.5779514,-105.0035754
The Chronic Factory,150 Rio Grande Blvd,Denver,CO,80223,Medical,39.7185981,-105.0037453
Chronic Therapy,1020 S Broadway,Cortez,CO,81321,Recreational,37.3360515,-108.6016535
Chronic Therapy,10030 W 27th Ave,Wheat Ridge,CO,80215,Recreational,39.7557593,-105.1101047
The Colfax Pot Shop,1500 E Colfax Ave,Denver,CO,80218,Recreational,39.7398694,-104.9693928
Colorado Alternative Healthcare,125 Peach Ave Unit B,Palisade,CO,81526,Recreational,39.1115096,-108.3529536
Colorado Cannabis Connection,4550 S Kipling Pkwy Unit 4,Denver,CO,80127,Undisclosed,39.634011,-105.109826
Colorado Grow Company,965 1/2 Main Ave,Durango,CO,81301,Undisclosed,37.264992,-107.879
Colorado Harvest Company,11002 E Yale Ave,Aurora,CO,80014,Recreational,39.6670498,-104.8598611
Colorado Harvest Company,1178 South Kalamath,Denver,CO,80223,Recreational,39.6953391,-105.0002192
Colorado Harvest Company,1568 S Broadway,Denver,CO,80210,Recreational,39.6881799,-104.9873124
Colorado Weedery 125 Peach,125 Peach Ave Unit C,Palisade,CO,81526,Recreational,39.1115096,-108.3529536
Complete Cannabis,2950 Janitell Rd Unit 125,Colorado Springs,CO,80906,Undisclosed,38.7981066,-104.7942929
Complete Releaf Dispensary,1669 Coal Creek Dr,Lafayette,CO,80026,Recreational,39.9841789,-105.0946275
Cookies,3003 W Northern Ave,Pueblo,CO,81005,Recreational,38.2440938,-104.6461217
Cross Genetics,2440 W Evans Ave,Denver,CO,80219,Medical,39.6785984,-105.0162607
Cross Genetics,4902 Smith Rd,Denver,CO,80216,Undisclosed,39.7756702,-104.9304553
Cross Genetics,6745 W Mississippi Ave,Lakewood,CO,80226,Medical,39.6965991,-105.0700452
Cure Colorado,6200 E Yale Ave,Denver,CO,80222,Undisclosed,39.6673212,-104.9165322
A Cut Above Dispensary,3003 W Northern Ave,Denver,CO,80210,Undisclosed,39.676626,-104.962315
The Dab by Silverpeak,520 E Cooper Ave,Aspen,CO,81611,Recreational,39.1880743,-106.8180898
The Dab by Silverpeak,2119 Larimer St,Denver,CO,80205,Recreational,39.7541696,-104.991163
The Dab by Silverpeak,2748 W Alameda Ave,Denver,CO,80219,Recreational,39.7109545,-105.0217575
The Dab by Silverpeak,1063 Courtesy Rd,Louisville,CO,80027,Recreational,39.9803198,-105.1279293
The Dab by Silverpeak,972 W Dillon Rd Unit B,Louisville,CO,80027,Recreational,39.9603225,-105.1639022
